English,Chinese
Date,日期
Contract,契約
ContractMonth,到期月份(週別)
Open,開盤價
High,最高價
Low,最低價
Last,收盤價
Change,漲跌價
ChangePercent,漲跌%
Volume,成交量
SettlementPrice,結算價
OpenInterest,未沖銷契約數
BestBid,最後最佳買價
BestAsk,最後最佳賣價
HistoricalHigh,歷史最高價
HistoricalLow,歷史最低價
TradingHalt,是否因訊息面暫停交易
TradingSession,交易時段
SpreadOrderVolume,價差對單式委託成交量
