English,Chinese
Date,日期
Code,代號
Name,名稱
Close,收盤
Change,漲跌
Open,開盤
High,最高
Low,最低
TradeVol(shares),成交股數
TradeAmt.(NTD),成交金額(元)
No.ofTransactions,成交筆數
LastBestBidPrice,最後買價
LastBidVolume,最後買量(張數)
LastBestAskPrice,最後賣價
LastBestAskVolume,最後賣量(張數)
IssuedShares,發行股數
NextDayUpLimitPrice,次日漲停價
NextDayDownLimitPrice,次日跌停價
