SecurityCode,StockName
030047,國巨元大3A購13
030048,國巨元大3A購14
030049,國巨元大3A購15
03004P,世紀鋼富邦41售03
030050,台積電元大3A購32
030051,台積電元大3A購33
030052,台積電元大3A購34
030053,毅嘉元大3A購02
030054,華新科元大3A購07
030055,亞航元大3A購02
030056,亞航元大3A購03
030057,漢翔元大3A購03
030058,漢翔元大3A購04
030059,漢翔元大3A購05
03005P,T50正2元富46售01
030060,緯創元大3A購17
030061,緯創元大3C購06
030062,弘憶股元大3A購01
030063,創意元大3A購06
030064,創意元大3A購07
030065,創意元大3A購08
030066,辛耘元大3A購07
030067,辛耘元大3A購08
030068,辛耘元大3C購02
030069,上緯控元大3A購07
03006P,台積電凱基3C售35
03006X,元展06
030070,聯德元大3A購02
030071,全訊元大3A購04
030072,聯茂元大3A購03
030073,聯茂元大3A購04
030074,聯茂元大3A購05
030075,樺漢元大3A購06
030076,樺漢元大3A購07
030077,樺漢元大41購02
030078,保瑞元大3A購08
030079,保瑞元大3A購09
03007P,台積電凱基3C售36
03007X,元展07
030080,保瑞元大3A購10
030081,華東元大3A購02
030082,臺股指元大41購12
030083,臺股指元大41購13
030084,臺股指元大41購14
030085,臺股指元大41購15
030086,臺股指元大41購16
030087,大亞富邦41購01
030088,光寶科富邦3A購04
030089,光寶科富邦42購02
03008P,台積電凱基41售20
030090,聯電富邦42購01
030091,京元電富邦3B購03
030092,正文富邦3C購01
030093,虹堡富邦41購01
030094,崇越富邦3B購01
030095,台積電第一3A購03
030096,國泰金第一42購01
030097,台泥國泰3C購01
030098,川湖國泰3C購02
030099,群光國泰3C購01
03009P,滬深2X元大41售03
030100,全新國泰3C購01
030101,開發金國泰3C購01
030102,神基國泰3C購01
030103,嘉澤國泰3C購03
030104,辛耘國泰3C購01
030105,虹堡國泰3C購02
030106,崇越國泰3C購01
030107,帆宣國泰3C購01
030108,晶碩國泰3C購02
030109,達發國泰3C購01
03010P,聯電元大3C售13
03010X,元展10
030110,嘉基國泰3C購02
030111,華新台新3A購01
030112,大亞台新3A購01
030113,台達電台新3A購02
030114,大亞中信3C購01
030115,大同中信3C購01
030116,牧德中信3A購01
030117,辛耘中信3B購01
030118,崇越中信3A購01
030119,達發中信3A購02
03011P,金像電元大3C售08
030120,臺股指中信41購02
030121,T50正2永豐3C購01
030122,元黃金永豐3C購01
030123,香港2X永豐3A購02
030124,鴻海永豐41購03
030125,鴻海永豐42購04
030126,國巨永豐3A購02
030127,台積電永豐3C購05
030128,智邦永豐3A購01
030129,海悅永豐3B購01
03012P,聯發科元大3C售13
03012X,元展12
