SecurityCode,IndustryCode,CompanyName,SpecialShares,NormalShares,PrivateShares
1530,05,亞崴機電股份有限公司,0,94594171,0
1531,05,高林股份有限公司,0,182108080,0
1532,05,勤美股份有限公司,0,422604271,0
1533,12,車王電子股份有限公司,0,98547486,0
1535,05,中宇環保工程股份有限公司,0,123742552,0
1536,12,和大工業股份有限公司,0,278959513,0
1537,05,廣隆光電科技股份有限公司,0,82062794,0
1538,05,正峰工業股份有限公司,0,32300000,24033643
1539,05,巨庭機械股份有限公司,0,65370000,0
1540,05,喬福機械工業股份有限公司,0,85473612,0
1541,05,錩泰工業股份有限公司,0,78800000,0
1558,05,伸興工業股份有限公司,0,66535631,0
1560,05,中國砂輪企業股份有限公司,0,146941080,0
1563,12,巧新科技工業股份有限公司,0,230782140,0
1568,12,倉佑實業股份有限公司,0,103086559,0
1582,28,信錦企業股份有限公司,0,144268604,0
1583,05,程泰機械股份有限公司,0,109400372,0
1587,12,吉茂精密股份有限公司,0,80055672,0
1589,05,永冠能源科技集團有限公司,0,153135941,0
1590,05,亞德客國際集團,0,199999998,0
1597,05,直得科技股份有限公司,0,89261804,0
1598,37,岱宇國際股份有限公司,0,179142092,0
1603,06,中華電線電纜股份有限公司,0,191688000,0
1604,06,聲寶股份有限公司,0,384200000,0
1605,06,華新麗華股份有限公司,0,4431332948,0
1608,06,華榮電線電纜股份有限公司,0,632773506,0
1609,06,大亞電線電纜股份有限公司,0,785261944,0
1611,06,中國電器股份有限公司,0,322735742,0
1612,06,宏泰電工股份有限公司,0,316080063,0
1614,06,台灣三洋電機股份有限公司,0,269113406,0
1615,06,大山電線電纜股份有限公司,0,196663702,0
1616,06,億泰電線電纜股份有限公司,0,194148515,0
1617,06,榮星電線工業股份有限公司,0,169514700,0
1618,06,合機電線電纜股份有限公司,0,192691747,0
1626,06,艾美特(開曼)國際有限公司,0,149821721,0
1702,02,南僑投資控股股份有限公司,0,294132962,0
1707,22,葡萄王生技股份有限公司,0,148137373,0
1708,21,東南實業股份有限公司,0,249001651,0
1709,21,和益化學工業股份有限公司,0,477016272,0
1710,21,東聯化學股份有限公司,0,885703029,0
1711,21,臺灣永光化學工業股份有限公司,0,547752226,0
1712,21,興農股份有限公司,0,420492585,0
1713,21,國泰化工廠股份有限公司,0,150951700,0
1714,21,和桐化學股份有限公司,0,991824808,0
1717,21,長興材料工業股份有限公司,0,1172245483,0
1718,21,中國人造纖維股份有限公司,0,1685905745,0
1720,22,生達化學製藥股份有限公司,0,178696089,0
1721,21,三晃股份有限公司,0,184884092,19168520
1722,21,台灣肥料股份有限公司,0,980000000,0
1723,21,中鋼碳素化學股份有限公司,0,236904480,0
1725,21,元禎企業股份有限公司,0,181829978,0
1726,21,永記造漆工業股份有限公司,0,162000000,0
1727,21,臺灣中華化學工業股份有限公司,0,128019559,0
1730,21,花仙子企業股份有限公司,0,63233851,0
1731,22,美吾華股份有限公司,0,132915244,0
1732,21,毛寶股份有限公司,0,42443957,0
1733,22,五鼎生物技術股份有限公司,0,99950192,0
1734,22,杏輝藥品工業股份有限公司,0,190196774,0
1735,21,日勝化工股份有限公司,0,99388000,0
1736,37,喬山健康科技股份有限公司,0,303394617,0
1737,02,臺鹽實業股份有限公司,0,200000000,0
1752,22,南光化學製藥股份有限公司,0,100988472,0
1760,22,寶齡富錦生技股份有限公司,0,85739013,0
1762,22,中化合成生技股份有限公司,0,76918000,0
1773,21,勝一化工股份有限公司,0,300000000,0
1776,21,展宇科技材料股份有限公司,0,60106952,0
1783,22,和康生物科技股份有限公司,0,89680115,8702040
1786,22,科妍生物科技股份有限公司,0,74827641,0
